AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9041,Telemarketers,detailed,58430,4.3,,,,,17.97,37370,1.3,13,14.25,17.04,19.34,24.21,"27,040","29,640","35,450","40,230","50,350",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9090,Miscellaneous Sales and Related Workers,broad,95940,2.7,,,,,27.93,58080,1.2,14.29,17.7,23.05,33.23,46.66,"29,720","36,810","47,950","69,120","97,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,2760,11.9,,,,,21.08,43850,4,15.39,17.54,19.89,22.78,24.74,"32,010","36,470","41,380","47,390","51,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-9099,"Sales and Related Workers, All Other",detailed,93180,2.8,,,,,28.13,58510,1.2,14.29,17.72,23.21,33.97,47.07,"29,720","36,860","48,280","70,650","97,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,17753430,0.1,,,,,24.79,51560,0.1,16.12,18.53,22.81,28.88,36.62,"33,530","38,540","47,450","60,060","76,170",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-1000,Supervisors of Office and Administrative Support Workers,minor,1436680,0.5,,,,,35.33,73490,0.1,21.93,26.9,33.41,40.91,50.34,"45,610","55,950","69,500","85,090","104,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-1010,First-Line Supervisors of Office and Administrative Support Workers,broad,1436680,0.5,,,,,35.33,73490,0.1,21.93,26.9,33.41,40.91,50.34,"45,610","55,950","69,500","85,090","104,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,1436680,0.5,,,,,35.33,73490,0.1,21.93,26.9,33.41,40.91,50.34,"45,610","55,950","69,500","85,090","104,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-2000,Communications Equipment Operators,minor,38910,2.7,,,,,20.74,43140,0.7,14.48,16.88,18.82,22.77,29.61,"30,120","35,100","39,140","47,350","61,580",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-2010,"Switchboard Operators, Including Answering Service",broad,34280,3,,,,,20.34,42300,0.7,14.42,16.74,18.57,22.37,28.59,"29,990","34,820","38,630","46,530","59,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-2011,"Switchboard Operators, Including Answering Service",detailed,34280,3,,,,,20.34,42300,0.7,14.42,16.74,18.57,22.37,28.59,"29,990","34,820","38,630","46,530","59,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-2020,Telephone Operators,broad,3430,5.7,,,,,21.62,44970,1.2,15.15,17.75,20.07,24.76,30.27,"31,510","36,920","41,740","51,510","62,950",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-2021,Telephone Operators,detailed,3430,5.7,,,,,21.62,44970,1.2,15.15,17.75,20.07,24.76,30.27,"31,510","36,920","41,740","51,510","62,950",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-2090,Miscellaneous Communications Equipment Operators,broad,1200,15,,,,,29.87,62130,1.8,18.7,22.34,26.29,37.73,45.5,"38,900","46,460","54,680","78,470","94,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-2099,"Communications Equipment Operators, All Other",detailed,1200,15,,,,,29.87,62130,1.8,18.7,22.34,26.29,37.73,45.5,"38,900","46,460","54,680","78,470","94,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-3000,Financial Clerks,minor,2525690,0.6,,,,,24.87,51720,0.1,17.24,19.91,23.38,28.74,34.65,"35,870","41,410","48,620","59,780","72,080",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,43-3010,Bill and Account Collectors,broad,158830,1.4,,,,,23.59,49060,0.4,16.54,18.76,22.61,27.28,31.53,"34,400","39,010","47,030","56,740","65,580",,
